0.322,0.442,1697298075.4966571
0.32,0.434,1697298075.5122313
0.314,0.422,1697298075.5278554
0.314,0.42,1697298075.5278554
0.308,0.404,1697298075.542989
0.302,0.382,1697298075.558806
0.296,0.356,1697298075.5742266
0.294,0.332,1697298075.5897293
0.294,0.33,1697298075.5897293
0.294,0.308,1697298075.605233
0.296,0.306,1697298075.605233
0.302,0.284,1697298075.6208966
0.314,0.268,1697298075.6364343
0.314,0.266,1697298075.6364343
0.328,0.256,1697298075.652481
0.33,0.254,1697298075.652481
0.344,0.25,1697298075.668015
0.362,0.25,1697298075.6839461
0.378,0.254,1697298075.699974
0.38,0.256,1697298075.7012818
0.396,0.264,1697298075.71586
0.396,0.266,1697298075.71586
0.414,0.278,1697298075.731489
0.414,0.28,1697298075.731489
0.43,0.296,1697298075.7475922
0.432,0.298,1697298075.7475922
0.444,0.316,1697298075.762975
0.454,0.334,1697298075.7783213
0.456,0.334,1697298075.7783213
0.462,0.348,1697298075.7933304
0.462,0.35,1697298075.7933304
0.466,0.36,1697298075.8089523
0.466,0.364,1697298075.8245032
0.466,0.362,1697298075.855701
0.466,0.352,1697298075.8719523
0.464,0.336,1697298075.887373
0.464,0.334,1697298075.887373
0.464,0.318,1697298075.902349
0.464,0.316,1697298075.902349
0.464,0.296,1697298075.9177434
0.464,0.294,1697298075.9177434
0.468,0.276,1697298075.933134
0.476,0.26,1697298075.9487658
0.478,0.258,1697298075.9487658
0.49,0.246,1697298075.9641926
0.504,0.242,1697298075.980001
0.522,0.244,1697298075.9951844
0.522,0.246,1697298075.9951844
0.542,0.256,1697298076.0108187
0.544,0.258,1697298076.0108187
0.566,0.274,1697298076.0257108
0.568,0.276,1697298076.0257108
0.59,0.3,1697298076.041606
0.592,0.302,1697298076.041606
0.614,0.328,1697298076.056864
0.614,0.33,1697298076.056864
0.632,0.358,1697298076.0720139
0.644,0.39,1697298076.0879533
0.652,0.416,1697298076.1039917
0.656,0.434,1697298076.1195524
0.656,0.436,1697298076.1195524
0.656,0.446,1697298076.1344535
0.656,0.45,1697298076.1501572
