0.484,0.576,1697298107.5756266
0.48,0.568,1697298107.5912116
0.472,0.554,1697298107.6073222
0.472,0.552,1697298107.6073222
0.464,0.534,1697298107.6228094
0.46,0.512,1697298107.6380823
0.46,0.51,1697298107.6390848
0.46,0.484,1697298107.653821
0.46,0.482,1697298107.653821
0.462,0.46,1697298107.6688323
0.462,0.458,1697298107.6699295
0.472,0.442,1697298107.6844373
0.482,0.432,1697298107.700341
0.484,0.432,1697298107.700341
0.496,0.43,1697298107.7158222
0.498,0.43,1697298107.7168348
0.512,0.436,1697298107.7308486
0.532,0.448,1697298107.746885
0.554,0.466,1697298107.762848
0.572,0.486,1697298107.778339
0.586,0.504,1697298107.7933373
0.586,0.506,1697298107.7933373
0.596,0.524,1697298107.8088021
0.6,0.538,1697298107.824081
0.6,0.54,1697298107.82459
0.602,0.548,1697298107.8393586
0.604,0.552,1697298107.8541346
0.604,0.554,1697298107.8541346
0.604,0.552,1697298107.9002645
0.604,0.542,1697298107.915794
0.606,0.526,1697298107.9313447
0.608,0.508,1697298107.9467213
0.608,0.506,1697298107.9467213
0.608,0.48,1697298107.9627354
0.608,0.478,1697298107.9627354
0.61,0.45,1697298107.9779212
0.61,0.446,1697298107.9779212
0.608,0.418,1697298107.9935973
0.608,0.416,1697298107.9935973
0.602,0.382,1697298108.0092533
0.602,0.378,1697298108.0092533
0.592,0.342,1697298108.0248559
0.592,0.34,1697298108.025868
0.578,0.306,1697298108.0405173
0.578,0.304,1697298108.0405173
0.558,0.272,1697298108.0558841
0.532,0.248,1697298108.0716624
0.502,0.234,1697298108.0874481
0.5,0.234,1697298108.0874481
0.478,0.232,1697298108.1033645
0.476,0.232,1697298108.1033645
0.474,0.232,1697298108.1043625
0.458,0.24,1697298108.1195216
0.458,0.242,1697298108.1195216
0.45,0.258,1697298108.1353354
0.45,0.26,1697298108.1353354
0.448,0.278,1697298108.150581
0.448,0.28,1697298108.150581
0.454,0.302,1697298108.166957
0.47,0.318,1697298108.1827538
0.494,0.33,1697298108.197936
0.528,0.338,1697298108.2138486
0.558,0.342,1697298108.229094
0.56,0.344,1697298108.229094
0.586,0.346,1697298108.2440574
0.61,0.352,1697298108.258911
0.612,0.352,1697298108.2744255
