0.638,0.668,1697297980.334902
0.63,0.672,1697297980.3502564
0.612,0.674,1697297980.365667
0.61,0.676,1697297980.3661714
0.586,0.678,1697297980.3812447
0.584,0.678,1697297980.3812447
0.55,0.68,1697297980.3972306
0.546,0.68,1697297980.3972306
0.544,0.68,1697297980.3972306
0.51,0.68,1697297980.4125674
0.474,0.678,1697297980.4278378
0.472,0.676,1697297980.4278378
0.432,0.668,1697297980.4433334
0.402,0.656,1697297980.4584646
0.374,0.64,1697297980.4738243
0.374,0.638,1697297980.4738243
0.358,0.622,1697297980.4896667
0.358,0.62,1697297980.4896667
0.352,0.6,1697297980.505242
0.352,0.578,1697297980.5203748
0.362,0.556,1697297980.5355766
0.364,0.554,1697297980.5355766
0.384,0.532,1697297980.5514467
0.416,0.51,1697297980.5670283
0.418,0.508,1697297980.5670283
0.458,0.486,1697297980.5830767
0.464,0.484,1697297980.5830767
0.506,0.462,1697297980.5982707
0.51,0.46,1697297980.5982707
0.548,0.44,1697297980.613544
0.55,0.438,1697297980.613544
0.58,0.414,1697297980.6295557
0.582,0.414,1697297980.6295557
0.6,0.392,1697297980.645556
0.608,0.372,1697297980.6606987
0.608,0.356,1697297980.6759338
0.602,0.344,1697297980.691182
0.588,0.332,1697297980.7072477
0.586,0.332,1697297980.7072477
0.56,0.322,1697297980.7233343
0.528,0.32,1697297980.7393088
0.526,0.32,1697297980.7403173
0.488,0.32,1697297980.7542918
0.452,0.324,1697297980.770154
0.448,0.324,1697297980.770154
0.41,0.334,1697297980.7856274
0.408,0.336,1697297980.7856274
0.376,0.344,1697297980.8013625
0.374,0.344,1697297980.8013625
0.34,0.354,1697297980.8174157
0.318,0.362,1697297980.8328223
0.316,0.362,1697297980.833327
0.306,0.366,1697297980.8489268
0.308,0.368,1697297980.8797035
