0.428,0.774,1697297831.1438234
0.424,0.762,1697297831.159137
0.424,0.76,1697297831.159137
0.418,0.74,1697297831.1752374
0.412,0.712,1697297831.1906219
0.41,0.71,1697297831.1906219
0.406,0.676,1697297831.2064137
0.404,0.672,1697297831.2064137
0.4,0.636,1697297831.2217124
0.398,0.63,1697297831.2217124
0.394,0.586,1697297831.2372503
0.388,0.534,1697297831.2532694
0.386,0.486,1697297831.2687354
0.386,0.482,1697297831.2687354
0.386,0.438,1697297831.2840898
0.386,0.436,1697297831.2840898
0.39,0.394,1697297831.2999353
0.39,0.392,1697297831.2999353
0.398,0.358,1697297831.3151724
0.398,0.356,1697297831.3151724
0.408,0.328,1697297831.330956
0.418,0.308,1697297831.3466327
0.42,0.306,1697297831.3476334
0.428,0.296,1697297831.3621593
0.436,0.29,1697297831.377648
0.438,0.29,1697297831.377648
0.444,0.29,1697297831.3934286
0.448,0.292,1697297831.4094706
0.45,0.3,1697297831.4242344
0.454,0.31,1697297831.4397142
0.458,0.32,1697297831.4552891
0.462,0.324,1697297831.4713256
