0.41,0.462,1697297585.1778393
0.408,0.462,1697297585.1790473
0.402,0.468,1697297585.1935706
0.392,0.47,1697297585.2091064
0.39,0.47,1697297585.2091064
0.372,0.47,1697297585.2245765
0.344,0.46,1697297585.2399457
0.342,0.458,1697297585.2399457
0.314,0.444,1697297585.2553756
0.312,0.442,1697297585.2553756
0.286,0.42,1697297585.270486
0.266,0.39,1697297585.2863903
0.26,0.362,1697297585.3024006
0.26,0.36,1697297585.3024006
0.262,0.334,1697297585.317892
0.262,0.332,1697297585.317892
0.274,0.314,1697297585.3336322
0.29,0.306,1697297585.3489635
0.292,0.306,1697297585.3489635
0.312,0.304,1697297585.3640318
0.314,0.304,1697297585.3640318
0.336,0.316,1697297585.379666
0.362,0.338,1697297585.396096
0.364,0.34,1697297585.3966014
0.384,0.368,1697297585.411315
0.386,0.37,1697297585.411315
0.404,0.41,1697297585.4273715
0.404,0.412,1697297585.4273715
0.418,0.454,1697297585.4427567
0.43,0.502,1697297585.458604
0.43,0.506,1697297585.458604
0.442,0.554,1697297585.4745674
0.454,0.606,1697297585.490387
0.462,0.65,1697297585.5062175
0.464,0.652,1697297585.5062175
0.472,0.69,1697297585.521621
0.48,0.722,1697297585.5370111
0.484,0.738,1697297585.5528188
0.484,0.734,1697297585.5843563
0.484,0.732,1697297585.5843563
0.48,0.71,1697297585.6003985
0.48,0.708,1697297585.6003985
0.474,0.676,1697297585.6163836
0.474,0.674,1697297585.6163836
0.466,0.632,1697297585.631708
0.466,0.63,1697297585.631708
0.46,0.58,1697297585.646837
0.458,0.576,1697297585.646837
0.454,0.526,1697297585.6623476
0.452,0.522,1697297585.6623476
0.45,0.464,1697297585.6776147
0.45,0.41,1697297585.6931293
0.45,0.406,1697297585.6931293
0.452,0.356,1697297585.7086854
0.452,0.354,1697297585.7091923
0.456,0.32,1697297585.7238576
0.456,0.318,1697297585.7248573
0.456,0.316,1697297585.7258573
0.46,0.296,1697297585.7391906
0.462,0.284,1697297585.7551904
0.462,0.282,1697297585.7551904
0.464,0.286,1697297585.8021154
0.468,0.294,1697297585.8180563
0.47,0.296,1697297585.8341534
