0.5,0.66,1697297942.9870722
0.492,0.66,1697297943.002331
0.47,0.658,1697297943.018292
0.44,0.652,1697297943.034393
0.438,0.652,1697297943.034393
0.406,0.642,1697297943.0504007
0.404,0.642,1697297943.051402
0.402,0.64,1697297943.0524006
0.378,0.628,1697297943.066415
0.358,0.61,1697297943.0822127
0.358,0.608,1697297943.0822127
0.346,0.586,1697297943.0976088
0.338,0.562,1697297943.1138012
0.334,0.536,1697297943.129748
0.334,0.534,1697297943.129748
0.334,0.512,1697297943.1458023
0.334,0.51,1697297943.1458023
0.34,0.494,1697297943.1612172
0.352,0.482,1697297943.1772165
0.364,0.48,1697297943.1933277
0.37,0.48,1697297943.2093453
0.38,0.494,1697297943.2249508
0.39,0.512,1697297943.2403445
0.404,0.534,1697297943.2552342
0.418,0.558,1697297943.2711096
0.418,0.56,1697297943.2711096
0.432,0.582,1697297943.2862766
0.442,0.604,1697297943.3010561
0.444,0.606,1697297943.3010561
0.45,0.622,1697297943.3173454
0.454,0.63,1697297943.333302
0.454,0.632,1697297943.348206
0.454,0.628,1697297943.3950653
0.452,0.618,1697297943.409878
0.448,0.602,1697297943.4253461
0.442,0.582,1697297943.4412763
0.436,0.562,1697297943.4564724
0.43,0.534,1697297943.4720654
0.428,0.532,1697297943.4720654
0.422,0.5,1697297943.4874141
0.412,0.46,1697297943.503295
0.404,0.42,1697297943.5187242
0.402,0.418,1697297943.5187242
0.394,0.372,1697297943.5340948
0.384,0.334,1697297943.5496962
0.384,0.332,1697297943.5506966
0.376,0.3,1697297943.56571
0.376,0.298,1697297943.56571
0.374,0.284,1697297943.581825
0.374,0.28,1697297943.5976691
0.38,0.288,1697297943.6284015
0.39,0.298,1697297943.6442606
0.402,0.308,1697297943.6593275
0.416,0.32,1697297943.6750786
0.43,0.33,1697297943.6903303
0.438,0.336,1697297943.7062006
0.44,0.34,1697297943.7222526
0.442,0.342,1697297943.7381632
0.442,0.344,1697297943.7843552
0.442,0.346,1697297943.7996476
