0.41,0.866,1697297704.2052293
0.41,0.854,1697297704.220241
0.408,0.854,1697297704.2212312
0.406,0.836,1697297704.2362347
0.406,0.834,1697297704.2362347
0.402,0.812,1697297704.2512333
0.402,0.81,1697297704.252235
0.398,0.78,1697297704.2669005
0.394,0.738,1697297704.282962
0.394,0.734,1697297704.282962
0.39,0.69,1697297704.297962
0.384,0.638,1697297704.3129628
0.382,0.63,1697297704.3129628
0.376,0.574,1697297704.3279624
0.374,0.568,1697297704.3279624
0.366,0.51,1697297704.3438015
0.366,0.506,1697297704.3438015
0.358,0.444,1697297704.3597353
0.35,0.39,1697297704.3748672
0.346,0.348,1697297704.389867
0.342,0.32,1697297704.405157
0.342,0.318,1697297704.405157
0.342,0.308,1697297704.4204838
0.342,0.306,1697297704.4365268
0.342,0.308,1697297704.4514098
0.342,0.31,1697297704.4514098
0.342,0.322,1697297704.4667277
0.344,0.344,1697297704.4819205
0.35,0.374,1697297704.4977322
0.358,0.408,1697297704.5136838
0.37,0.444,1697297704.5288491
0.386,0.478,1697297704.544662
0.388,0.482,1697297704.544662
0.408,0.514,1697297704.559684
0.432,0.542,1697297704.5757248
0.454,0.56,1697297704.591713
0.472,0.568,1697297704.6079865
0.486,0.568,1697297704.624019
0.5,0.56,1697297704.6392267
0.502,0.558,1697297704.6392267
0.52,0.542,1697297704.6557183
0.538,0.52,1697297704.6714966
0.54,0.518,1697297704.6714966
0.552,0.492,1697297704.686659
0.554,0.49,1697297704.686659
0.562,0.462,1697297704.7022974
0.564,0.458,1697297704.7022974
0.568,0.428,1697297704.717794
0.572,0.396,1697297704.733678
0.572,0.394,1697297704.733678
0.572,0.364,1697297704.7496583
0.572,0.362,1697297704.7496583
0.572,0.34,1697297704.7651198
0.572,0.338,1697297704.7651198
0.572,0.32,1697297704.780394
0.574,0.32,1697297704.780394
0.574,0.308,1697297704.7957475
0.574,0.302,1697297704.810989
0.576,0.302,1697297704.85728
0.576,0.304,1697297704.8730447
