0.598,0.65,1697297671.4865322
0.59,0.652,1697297671.5018024
0.576,0.654,1697297671.5168605
0.556,0.654,1697297671.5320518
0.532,0.648,1697297671.5477138
0.51,0.636,1697297671.5633504
0.508,0.636,1697297671.5633504
0.484,0.616,1697297671.5789056
0.462,0.592,1697297671.594746
0.46,0.59,1697297671.594746
0.444,0.56,1697297671.6108067
0.442,0.558,1697297671.6108067
0.432,0.524,1697297671.6261575
0.432,0.522,1697297671.6261575
0.43,0.49,1697297671.6417253
0.43,0.488,1697297671.6417253
0.432,0.458,1697297671.6577513
0.432,0.456,1697297671.6577513
0.444,0.44,1697297671.6738253
0.458,0.432,1697297671.6890533
0.474,0.434,1697297671.7048073
0.49,0.442,1697297671.7199407
0.508,0.458,1697297671.7353349
0.508,0.46,1697297671.736335
0.524,0.482,1697297671.7510667
0.524,0.484,1697297671.7510667
0.534,0.508,1697297671.7667136
0.536,0.51,1697297671.7667136
0.536,0.512,1697297671.7677143
0.548,0.54,1697297671.7818987
0.562,0.568,1697297671.7977686
0.562,0.57,1697297671.7977686
0.576,0.596,1697297671.8131328
0.576,0.598,1697297671.8141358
0.586,0.618,1697297671.8288124
0.592,0.632,1697297671.844314
0.596,0.638,1697297671.860171
0.596,0.634,1697297671.8913476
0.598,0.622,1697297671.9072375
0.598,0.62,1697297671.9072375
0.598,0.604,1697297671.923253
0.598,0.602,1697297671.9243836
0.598,0.6,1697297671.9243836
0.598,0.582,1697297671.9393651
0.598,0.58,1697297671.9393651
0.596,0.558,1697297671.9547577
0.596,0.556,1697297671.9547577
0.592,0.53,1697297671.969963
0.588,0.502,1697297671.9858575
0.584,0.474,1697297672.001474
0.584,0.472,1697297672.001474
0.58,0.444,1697297672.0164514
0.572,0.416,1697297672.0316722
0.572,0.414,1697297672.0316722
0.564,0.38,1697297672.0472217
0.564,0.378,1697297672.0472217
0.554,0.344,1697297672.0629632
0.544,0.308,1697297672.0787811
0.542,0.306,1697297672.0787811
0.528,0.27,1697297672.0947611
0.526,0.268,1697297672.0947611
0.506,0.23,1697297672.1107597
0.506,0.228,1697297672.1107597
0.484,0.196,1697297672.1257603
0.482,0.194,1697297672.1257603
0.456,0.166,1697297672.1412284
0.454,0.164,1697297672.1412284
0.424,0.144,1697297672.1568224
0.392,0.134,1697297672.17295
0.368,0.132,1697297672.1879616
0.356,0.138,1697297672.2034647
0.352,0.154,1697297672.219397
0.35,0.154,1697297672.219397
0.35,0.176,1697297672.2355223
0.35,0.178,1697297672.2355223
0.35,0.202,1697297672.2507596
0.35,0.204,1697297672.2507596
0.356,0.228,1697297672.2657685
0.356,0.23,1697297672.2657685
0.37,0.256,1697297672.2818384
0.39,0.28,1697297672.2977836
0.392,0.28,1697297672.2977836
0.418,0.298,1697297672.3138332
0.448,0.312,1697297672.3291235
0.45,0.312,1697297672.3291235
0.478,0.322,1697297672.3449268
0.508,0.332,1697297672.3605032
0.51,0.334,1697297672.3605032
0.542,0.344,1697297672.3759162
0.558,0.352,1697297672.3919327
