0.588,0.736,1697297486.064942
0.582,0.738,1697297486.0801716
0.568,0.744,1697297486.096092
0.548,0.746,1697297486.1118875
0.546,0.746,1697297486.1128898
0.522,0.748,1697297486.127067
0.518,0.748,1697297486.127067
0.49,0.748,1697297486.1426334
0.488,0.748,1697297486.1426334
0.452,0.74,1697297486.1577797
0.45,0.74,1697297486.158779
0.412,0.728,1697297486.1737804
0.37,0.71,1697297486.1893418
0.366,0.708,1697297486.1893418
0.32,0.68,1697297486.205871
0.318,0.678,1697297486.205871
0.278,0.646,1697297486.2218637
0.24,0.606,1697297486.2373836
0.236,0.604,1697297486.2373836
0.206,0.56,1697297486.252948
0.184,0.514,1697297486.2686887
0.172,0.47,1697297486.2845185
0.172,0.468,1697297486.2845185
0.172,0.428,1697297486.3005366
0.172,0.426,1697297486.3005366
0.188,0.388,1697297486.3166406
0.188,0.386,1697297486.3166406
0.214,0.358,1697297486.3321412
0.216,0.356,1697297486.3321412
0.25,0.336,1697297486.3477669
0.286,0.324,1697297486.363459
0.288,0.322,1697297486.363459
0.328,0.316,1697297486.3791802
0.33,0.316,1697297486.3791802
0.37,0.316,1697297486.3944201
0.372,0.316,1697297486.3944201
0.414,0.324,1697297486.4103892
0.416,0.324,1697297486.4103892
0.448,0.34,1697297486.4255805
0.45,0.34,1697297486.4255805
0.476,0.36,1697297486.4414854
0.478,0.362,1697297486.4414854
0.496,0.388,1697297486.4567616
0.51,0.418,1697297486.4727626
0.52,0.45,1697297486.488518
0.52,0.452,1697297486.488518
0.532,0.488,1697297486.5039494
0.544,0.524,1697297486.5195115
0.556,0.558,1697297486.5354097
0.556,0.562,1697297486.5354097
0.564,0.594,1697297486.550936
0.566,0.596,1697297486.550936
0.574,0.628,1697297486.5667212
0.584,0.656,1697297486.5820549
0.584,0.658,1697297486.5820549
0.592,0.68,1697297486.598062
0.592,0.682,1697297486.598062
0.598,0.698,1697297486.6135838
0.598,0.7,1697297486.6135838
0.6,0.712,1697297486.6295843
0.6,0.714,1697297486.6295843
0.604,0.722,1697297486.6455798
0.604,0.726,1697297486.6608622
0.604,0.722,1697297486.70742
0.606,0.71,1697297486.722284
0.606,0.708,1697297486.7232845
0.606,0.69,1697297486.737212
0.606,0.688,1697297486.737212
0.606,0.66,1697297486.7530217
0.604,0.626,1697297486.7690651
0.604,0.624,1697297486.7700667
0.604,0.622,1697297486.771067
0.604,0.582,1697297486.784962
0.604,0.58,1697297486.7859619
0.606,0.532,1697297486.8010035
0.614,0.484,1697297486.8165424
0.616,0.482,1697297486.8165424
0.626,0.43,1697297486.8324094
0.626,0.428,1697297486.8324094
0.638,0.386,1697297486.847738
0.638,0.382,1697297486.847738
0.648,0.346,1697297486.8630323
0.658,0.318,1697297486.87841
0.658,0.316,1697297486.8789153
0.664,0.296,1697297486.894197
0.666,0.29,1697297486.9098308
0.666,0.292,1697297486.9418707
0.666,0.3,1697297486.9571776
0.666,0.306,1697297486.9728246
